ts,RET_1,VOL_YES_1,VOL_NO_1,VOL_TOTAL_1,RET_2,VOL_YES_2,VOL_NO_2,VOL_TOTAL_2,RET_3,VOL_YES_3,VOL_NO_3,VOL_TOTAL_3,RET_4,VOL_YES_4,VOL_NO_4,VOL_TOTAL_4,RET_5,VOL_YES_5,VOL_NO_5,VOL_TOTAL_5,RET_6,VOL_YES_6,VOL_NO_6,VOL_TOTAL_6,RET_7,VOL_YES_7,VOL_NO_7,VOL_TOTAL_7,RET_8,VOL_YES_8,VOL_NO_8,VOL_TOTAL_8,RET_9,VOL_YES_9,VOL_NO_9,VOL_TOTAL_9,RET_10,VOL_YES_10,VOL_NO_10,VOL_TOTAL_10,RET_MEAN_5,RET_STD_5,VOL_MEAN_5,RET_MEAN_10,RET_STD_10,VOL_MEAN_10,DIST_50,DIST_MIN_20,DIST_MAX_20,VOL_IMBALANCE
2026-02-15 05:00:00+00:00,0.12373425537169691,0.0,0.0,,-0.13851063829787247,0.0,0.0,,0.0,0.0,0.0,,0.11904761904761907,0.0,0.0,,0.0,0.0,0.0,,0.03703703703703698,0.0,0.0,,0.03846153846153855,0.0,0.0,,-0.1875,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0208542472242887,0.10781140980726557,,,,,0.82,,,
2026-02-16 05:00:00+00:00,0.0,0.0,0.0,,0.12373425537169691,0.0,0.0,,-0.13851063829787247,0.0,0.0,,0.0,0.0,0.0,,0.11904761904761907,0.0,0.0,,0.0,0.0,0.0,,0.03703703703703698,0.0,0.0,,0.03846153846153855,0.0,0.0,,-0.1875,0.0,0.0,,0.0,0.0,0.0,,0.0208542472242887,0.10781140980726557,,-0.0007730188379980963,0.0981320000741924,,0.82,,,
2026-02-17 05:00:00+00:00,0.0,0.0,0.0,,0.0,0.0,0.0,,0.12373425537169691,0.0,0.0,,-0.13851063829787247,0.0,0.0,,0.0,0.0,0.0,,0.11904761904761907,0.0,0.0,,0.0,0.0,0.0,,0.03703703703703698,0.0,0.0,,0.03846153846153855,0.0,0.0,,-0.1875,0.0,0.0,,-0.0029552765852351114,0.09280583841493509,,-0.0007730188379980963,0.0981320000741924,,0.82,,,
2026-02-18 05:00:00+00:00,-0.038461538461538436,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.12373425537169691,0.0,0.0,,-0.13851063829787247,0.0,0.0,,0.0,0.0,0.0,,0.11904761904761907,0.0,0.0,,0.0,0.0,0.0,,0.03703703703703698,0.0,0.0,,0.03846153846153855,0.0,0.0,,-0.0106475842775428,0.09408479893181985,,0.01413082731584806,0.07527816391580694,,0.75,,,
2026-02-19 05:00:00+00:00,0.02857142857142847,0.0,0.0,,-0.038461538461538436,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.12373425537169691,0.0,0.0,,-0.13851063829787247,0.0,0.0,,0.0,0.0,0.0,,0.11904761904761907,0.0,0.0,,0.0,0.0,0.0,,0.03703703703703698,0.0,0.0,,0.02276882909631739,0.061265170634999463,,0.013141816326837053,0.07498739427042958,,0.8,,,
2026-02-20 05:00:00+00:00,-0.1333333333333333,0.0,0.0,,0.02857142857142847,0.0,0.0,,-0.038461538461538436,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.12373425537169691,0.0,0.0,,-0.13851063829787247,0.0,0.0,,0.0,0.0,0.0,,0.11904761904761907,0.0,0.0,,0.0,0.0,0.0,,-0.028644688644688655,0.06318782183194525,,-0.0038952207101999757,0.08729857150440418,,0.56,,,
2026-02-21 05:00:00+00:00,0.0,0.0,0.0,,-0.1333333333333333,0.0,0.0,,0.02857142857142847,0.0,0.0,,-0.038461538461538436,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.12373425537169691,0.0,0.0,,-0.13851063829787247,0.0,0.0,,0.0,0.0,0.0,,0.11904761904761907,0.0,0.0,,-0.028644688644688655,0.06318782183194525,,-0.0038952207101999757,0.08729857150440418,,0.56,,,
2026-02-22 05:00:00+00:00,0.061153846153846114,0.0,0.0,,0.0,0.0,0.0,,-0.1333333333333333,0.0,0.0,,0.02857142857142847,0.0,0.0,,-0.038461538461538436,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.12373425537169691,0.0,0.0,,-0.13851063829787247,0.0,0.0,,0.0,0.0,0.0,,-0.016413919413919432,0.07494348436654363,,-0.009684597999577271,0.07984056031210988,,0.6553999999999999,,,
2026-02-23 05:00:00+00:00,0.06318714510088208,0.0,0.0,,0.061153846153846114,0.0,0.0,,0.0,0.0,0.0,,-0.1333333333333333,0.0,0.0,,0.02857142857142847,0.0,0.0,,-0.038461538461538436,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.12373425537169691,0.0,0.0,,-0.13851063829787247,0.0,0.0,,0.003915817298564672,0.0810090186155522,,-0.003365883489489063,0.08312498862960714,,0.76,,,
2026-02-24 05:00:00+00:00,-0.011363636363636354,0.0,0.0,,0.06318714510088208,0.0,0.0,,0.061153846153846114,0.0,0.0,,0.0,0.0,0.0,,-0.1333333333333333,0.0,0.0,,0.02857142857142847,0.0,0.0,,-0.038461538461538436,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.12373425537169691,0.0,0.0,,-0.004071195688448293,0.0799319164084703,,0.009348816703934549,0.06861413597534018,,0.74,,,
